first_approval,molecule_chembl_id,molecule_type,pref_name,smiles
1976.0,CHEMBL2,Small molecule,PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
1984.0,CHEMBL3,Small molecule,NICOTINE,CN1CCC[C@H]1c1cccnc1
1990.0,CHEMBL4,Small molecule,OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
1964.0,CHEMBL5,Small molecule,NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
1965.0,CHEMBL6,Small molecule,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
1986.0,CHEMBL403,Small molecule,SULBACTAM,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
1993.0,CHEMBL404,Small molecule,TAZOBACTAM,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
1987.0,CHEMBL8,Small molecule,CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
1986.0,CHEMBL9,Small molecule,NORFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
1955.0,CHEMBL405,Small molecule,AMPHETAMINE,CC(N)Cc1ccccc1
1986.0,CHEMBL6622,Small molecule,ISOSORBIDE DINITRATE,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
1959.0,CHEMBL11,Small molecule,IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21
1983.0,CHEMBL406,Small molecule,INDAPAMIDE,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
1991.0,CHEMBL407,Small molecule,FLUMAZENIL,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
